date_time,visit_id
2017-03-15,267
2017-03-16,103
2017-03-17,58
2017-03-18,57
2017-03-19,59
2017-03-20,60
2017-03-21,55
2017-03-22,286
2017-03-23,132
2017-03-24,82
2017-03-25,72
2017-03-26,84
2017-03-27,66
2017-03-28,293
2017-03-29,6409
2017-03-30,2295
2017-03-31,1486
2017-04-01,1091
2017-04-02,1728
2017-04-03,1525
2017-04-04,1529
2017-04-05,5185
2017-04-06,2501
2017-04-07,1944
2017-04-08,1611
2017-04-09,1719
2017-04-10,1334
2017-04-11,937
2017-04-12,3773
2017-04-13,1718
2017-04-14,1206
2017-04-15,1226
2017-04-16,1337
2017-04-17,1136
2017-04-18,759
2017-04-19,2434
2017-04-20,1065
2017-04-21,651
2017-04-22,585
2017-04-23,682
2017-04-24,613
2017-04-25,556
2017-04-26,408
2017-04-27,431
2017-04-28,416
2017-04-29,45
2017-04-30,79
2017-05-01,544
2017-05-02,430
2017-05-03,380
2017-05-04,383
2017-05-05,273
2017-05-06,293
2017-05-07,361
2017-05-08,347
2017-05-09,375
2017-05-10,553
2017-05-11,439
2017-05-12,348
2017-05-13,300
2017-05-14,425
2017-05-15,455
2017-05-16,379
2017-05-17,363
2017-05-18,296
2017-05-19,302
2017-05-20,396
2017-05-21,450
2017-05-22,399
2017-05-23,384
2017-05-24,275
2017-05-25,257
2017-05-26,214
2017-05-27,184
2017-05-28,252
2017-05-29,316
2017-05-30,365
2017-05-31,308
2017-06-01,359
2017-06-02,318
2017-06-03,341
2017-06-04,377
2017-06-05,383
2017-06-06,317
2017-06-07,332
2017-06-08,281
2017-06-09,295
2017-06-10,221
2017-06-11,347
2017-06-12,317
2017-06-13,305
2017-06-14,309
2017-06-15,245
2017-06-16,214
2017-06-17,183
2017-06-18,305
2017-06-19,351
2017-06-20,385
